immediate_allocation_calls,global_strategy_calls,waiting_tasks_seen,waiting_queue_size_sum,waiting_queue_size_samples,max_queue_size,active_prediction_count_sum,active_reservation_count_sum,allocation_call_samples,resource_build_calls,permission_cache_misses,resource_objects_created,_build_resources_calls,_build_resources_time_seconds,task_cache_misses,task_cache_created,task_cache_max_size,_build_tasks_calls,_build_tasks_time_seconds,tasks_converted_sum,resources_converted_sum,allocation_strategy_calls,allocation_strategy_time_seconds,strategy_assignments,resources_allocated,_allocate_enabled_events_calls,_allocate_enabled_events_time_seconds,visible_activity_processing_starts,processing_time_resampling_attempts,processing_time_global_fallback_hits,processing_time_source_activity_A_Create_Application_global_fallback,final_positive_duration_count,task_cache_removed,permission_cache_hits,bpmn_transition_identity_fires,exact_transition_fires,resources_released,bpmn_transition_candidate_sets,bpmn_transition_candidates_total,branch_predictions,branch_prediction_calls,branch_prediction_time_seconds,processing_time_source_activity_A_Submitted_global_fallback,unique_predictions_executed,branch_predictions_executed,prediction_execution_matches,processing_time_source_activity_A_Concept_global_fallback,processing_time_source_activity_A_Accepted_global_fallback,processing_time_source_activity_O_Create_Offer_global_fallback,processing_time_source_activity_O_Created_global_fallback,processing_time_model_hits,processing_time_source_activity_W_Handle_leads_exact_model,processing_time_source_activity_O_Sent__mail_and_online_global_fallback,processing_time_source_activity_A_Complete_global_fallback,processing_time_source_activity_A_Cancelled_global_fallback,processing_time_source_activity_O_Cancelled_global_fallback,cases_completed_final_marking,reservations_active_after_cleanup,cases_censored,branch_prediction_source_CompositeBranchingEngine,branch_prediction_source_BPMNDeterministic,diagnostic_cycle_guard_enabled,cycle_repetition_limit,cycle_repetition_limit_hits,cycle_candidate_filtered,cycle_guard_filter_events,empirical_successor_candidates_filtered,empirical_successor_filter_events,fixed_route_cases_admitted,fixed_route_cases_completed,fixed_route_bpmn_fire_failures,fixed_route_prediction_global_candidate_fallbacks,fixed_route_no_route_available,fixed_route_arrivals_skipped_after_routes_exhausted,waiting_retry_events_scheduled,waiting_retry_events_processed,waiting_retry_duplicate_suppressed,waiting_retry_no_future_availability,waiting_retry_after_resource_release,waiting_retry_after_reservation_change,event_queue_empty_with_waiting_tasks,feasible_waiting_tasks_at_drain_end,infeasible_waiting_tasks_at_drain_end,prediction_execution_mismatches,park_song_predictions_consumed,duplicate_assignment_errors,reservation_decisions,reservations_created,reservations_used,reservations_expired,reservations_cancelled,reservations_overwritten,reservations_rejected_existing_kept,reservations_unresolved_at_horizon,park_song_prediction_reuse_count,stale_predictions,unresolved_reservations,unresolved_predictions,unequal_resource_load_comparisons,equal_resource_load_ties,resource_load_unequal_decisions,resource_load_tie_break_decisions,resource_load_assignment_decisions,task_cache_hits,processing_time_activity_fallback_hits,processing_time_empirical_activity_fallback_hits,processing_time_category_fallback_hits,processing_time_emergency_guard_hits,processing_time_missing_model_count,processing_time_invalid_value_count,processing_time_cached_duration_uses,processing_model_loaded,processing_model_retrained,processing_model_load_error,processing_model_artifact_path,minimum_visible_duration_applications,zero_duration_silent_transitions,final_zero_visible_duration_count,minimum_visible_duration_application_rate,processing_time_data_backed_coverage_rate,processing_time_exact_model_coverage_rate,processing_time_any_non_emergency_coverage_rate,final_processing_duration_min,final_processing_duration_median,final_processing_duration_mean,final_processing_duration_max,waiting_queue_size_mean,tasks_converted_per_call_mean,resources_converted_per_call_mean,active_prediction_count_mean,reservation_count_mean,strategy,seed,events_processed,drain_until,diagnostic_cycle_guard,engine_initialization_seconds,simulation_runtime_seconds,suspended_events,processing_time_source_activity_W_Handle_leads_learned_activity_fallback,last_resource_load_candidate_count,last_min_candidate_resource_load,last_selected_resource_load,global_assignment_calls,global_assignment_resources_total,global_assignment_candidates_total,global_assignment_feasible_pairs_total,reservation_margin_filtered,kunkler_calls,kunkler_scoring_decisions,kunkler_candidate_resources_total,kunkler_candidate_tasks_total,kunkler_assignments,kunkler_idle_decisions,kunkler_invalid_decisions_filtered,kunkler_fallback_count,kunkler_sequential_repair_decisions,kunkler_tie_count,kunkler_selected_score_sum,kunkler_selected_score_min,kunkler_selected_score_max,kunkler_selected_score_count,kunkler_selected_score_mean,batch_calls,batches_executed,batch_assignments,batch_unassigned_tasks,batch_size_sum,batch_size_max,batch_average_size
263,263,263,263,263,1,234,0,263,263,11,10841,263,0.0060703810022459,263,263,1,263,0.0006071710058677,263,10841,263,0.0068719610026164,263,263,263,0.0152504119987497,263,263,262,29,263,263,252,263,263,263,263,438,234,234,0.6648219970002174,1.0,234,234,234,29,29,29,29,1,1.0,29,29,29,29,29,0,0,117,117,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0038022813688212,0.0038022813688212,1.0,3.085,601.703,826.38727756654,5077.037,1.0,1.0,41.22053231939164,0.8897338403041825,0.0,RoundRobin,1,526,2016-09-17T02:07:00+00:00,0,17.33747033399959,0.7097941669999273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,336,336,336,336,1,297,0,336,336,11,11415,336,0.0069692529950771,333,333,2,336,0.0007687960060138,336,11415,336,0.0076505269989866,332,332,336,0.0174585080058022,332,332,331,37,332,332,335,332,332,332,332,553,296,296,0.8436707570026556,1.0,295,295,295,37,37,37,37,1,1.0,37,36,36,36,36,0,1,148,148,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.003012048192771,0.003012048192771,1.0,2.933,655.7525,863.4585602409638,5431.459,1.0,1.0,33.973214285714285,0.8839285714285714,0.0,RoundRobin,2,665,2016-09-17T02:07:00+00:00,0,17.22263750000002,0.9062352909995752,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,272,272,272,272,1,242,0,272,272,11,10035,272,0.005884124008844,272,272,1,272,0.0006278880009631,272,10035,272,0.0065810760033855,272,272,272,0.0148032049964967,272,272,271,30,272,272,261,272,272,272,272,453,242,242,0.6805031250014508,1.0,242,242,242,30,30,30,30,0,,30,30,30,30,30,0,0,121,121,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0036764705882352,0.0,1.0,2.842,654.809,810.5526544117647,3079.611,1.0,1.0,36.893382352941174,0.8897058823529411,0.0,RoundRobin,3,544,2016-09-17T02:07:00+00:00,0,17.20607412499976,0.7250318329997754,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,259,259,259,259,1,230,0,259,259,11,10909,259,0.0060529569873324,259,259,1,259,0.0006053390015949,259,10909,259,0.0083232069910081,258,258,259,0.0166907589873517,258,258,257,29,258,258,251,258,258,258,258,430,230,230,0.6583507040004406,1.0,229,229,229,29,29,29,28,1,1.0,28,28,28,28,28,0,1,115,115,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,229,29,229,28,258,0,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.003875968992248,0.003875968992248,1.0,3.085,595.923,816.5262093023256,5077.037,1.0,1.0,42.11969111969112,0.888030888030888,0.0,ShortestQueue,1,517,2016-09-17T02:07:00+00:00,0,17.223107542000434,0.7062292910004544,1.0,,29.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,336,338,338,336,2,298,0,336,336,11,11778,336,0.0070037569867054,333,333,3,336,0.0007710409909122,338,11778,336,0.0096267049921152,331,331,336,0.0194819140060644,331,331,329,37,331,331,344,331,331,331,331,551,296,296,0.8398475869980757,2.0,294,294,294,37,37,37,37,2,2.0,37,35,35,35,35,0,2,148,148,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,288,43,288,40,331,5,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0060422960725075,0.0060422960725075,1.0,2.886,635.281,846.0223957703928,5431.459,1.005952380952381,1.005952380952381,35.05357142857143,0.8869047619047619,0.0,ShortestQueue,2,664,2016-09-17T02:07:00+00:00,0,17.241764082999907,0.912786915999277,2.0,,1.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,274,274,274,274,1,244,0,274,274,11,10067,274,0.0059940900018773,274,274,1,274,0.0006453700070778,274,10067,274,0.0079851259970382,274,274,274,0.0163747059987144,274,274,272,30,274,274,263,274,274,274,274,456,244,244,0.7023482889972001,2.0,244,244,244,30,30,30,30,0,,30,30,30,30,30,0,0,122,122,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,32,242,30,274,0,2,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0072992700729927,0.0,1.0,2.842,661.806,814.8372700729927,3079.611,1.0,1.0,36.74087591240876,0.8905109489051095,0.0,ShortestQueue,3,548,2016-09-17T02:07:00+00:00,0,17.212037415999475,0.7490456670002459,,2.0,31.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,261,261,261,261,1,232,0,261,261,9,10967,261,0.0059709509960157,261,261,1,261,0.0006099980009821,261,10967,261,0.0260387099961008,261,261,261,0.0345911979993616,261,261,261,29,261,261,252,261,261,261,261,435,232,232,0.6652614570066362,,232,232,232,29,29,29,29,0,,29,29,29,29,29,0,0,116,116,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0,0.0,1.0,3.085,608.219,822.8564865900383,5077.037,1.0,1.0,42.01915708812261,0.8888888888888888,0.0,ParkSong-Composite,1,522,2016-09-17T02:07:00+00:00,0,17.222574624999652,0.7294151249998322,,,,,,261.0,10967.0,435.0,10967.0,6890.0,,,,,,,,,,,,,,,,,,,,,,
330,332,332,332,332,1,294,0,332,332,9,11909,332,0.0069330820097093,330,330,1,332,0.0007805300028849,332,11909,332,0.0288206980067116,330,330,332,0.0389573299926269,330,330,330,37,330,329,331,330,330,330,330,550,294,294,0.8394857530047375,,293,293,293,37,37,37,37,0,,37,36,36,36,36,0,1,147,147,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,1,0,294,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0,0.0,1.0,2.933,642.8975,846.703106060606,5431.459,1.0,1.0,35.87048192771084,0.8855421686746988,0.0,ParkSong-Composite,2,661,2016-09-17T02:07:00+00:00,0,17.210474125000474,0.9222421250005935,1.0,,,,,330.0,11909.0,550.0,11909.0,7383.0,,,,,,,,,,,,,,,,,,,,,,
270,270,270,270,270,1,240,0,270,270,9,10147,270,0.0058367390001876,270,270,1,270,0.0006314570100585,270,10147,270,0.0244341670013454,270,270,270,0.0329159710036037,270,270,270,30,270,270,261,270,270,270,270,450,240,240,0.6909067469996444,,240,240,240,30,30,30,30,0,,30,30,30,30,30,0,0,120,120,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0,0.0,1.0,2.842,652.1415,805.4327222222222,3079.611,1.0,1.0,37.58148148148148,0.8888888888888888,0.0,ParkSong-Composite,3,540,2016-09-17T02:07:00+00:00,0,17.222974916000567,0.7544076670001232,,,,,,270.0,10147.0,450.0,10147.0,6428.0,,,,,,,,,,,,,,,,,,,,,,
269,273,274,274,273,2,242,0,273,273,11,10828,273,0.0059659939970515,269,269,2,273,0.0006380360082403,274,10828,273,0.0100230810112407,269,269,273,0.0183797979889277,269,269,265,29,269,269,276,269,269,269,269,447,240,240,0.682674456003042,4.0,240,240,240,29,29,29,29,4,4.0,29,29,29,29,29,0,0,120,120,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0148698884758364,0.0148698884758364,1.0,1.0,582.703,802.1210037174721,5289.029,1.0036630036630036,1.0036630036630036,39.663003663003664,0.8864468864468864,0.0,Kunkler-Rinderle-Ma,1,541,2016-09-17T02:07:00+00:00,0,17.28146629099956,0.7432143340001858,3.0,,,,,,,,,,273.0,269.0,10828.0,270.0,269.0,10559.0,0.0,0.0,0.0,0.0,241376.53500000003,3.479,5261.242,269.0,897.3105390334574,,,,,,,
339,340,340,340,340,1,302,0,340,340,11,12278,340,0.0071161719934025,339,339,1,340,0.000794793993009,340,12278,340,0.0120097930002884,339,339,340,0.0220665799988637,339,339,336,37,339,339,331,339,339,339,339,564,302,302,0.8947725769912722,3.0,302,302,302,37,37,37,37,3,3.0,37,37,37,37,37,0,0,151,151,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0088495575221238,0.0088495575221238,1.0,2.933,563.137,778.8323923303835,3778.187,1.0,1.0,36.11176470588235,0.888235294117647,0.0,Kunkler-Rinderle-Ma,2,679,2016-09-17T02:07:00+00:00,0,17.27880529200047,0.956117875000018,1.0,,,,,,,,,,340.0,339.0,12278.0,339.0,339.0,11939.0,0.0,0.0,0.0,0.0,285528.33200000005,2.857,5431.459,339.0,842.2664660766964,,,,,,,
276,276,276,276,276,1,246,0,276,276,11,9866,276,0.0057168030025422,276,276,1,276,0.0006656349933109,276,9866,276,0.0096393499943587,276,276,276,0.0177592460031519,276,277,273,30,276,276,265,276,276,276,276,459,246,246,0.7000758270114602,3.0,246,246,246,30,30,30,30,2,2.0,30,30,30,30,30,0,0,123,123,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0108695652173913,0.0072463768115942,1.0,2.821,671.2735,818.7523623188406,5471.791,1.0,1.0,35.7463768115942,0.8913043478260869,0.0,Kunkler-Rinderle-Ma,3,552,2016-09-17T02:07:00+00:00,0,17.25703241700012,0.7479572080001162,,1.0,,,,,,,,,276.0,276.0,9866.0,276.0,276.0,9590.0,0.0,0.0,0.0,0.0,212510.683,3.032,5218.367,276.0,769.9662427536233,,,,,,,
267,268,268,268,268,1,238,0,268,268,11,11364,268,0.0060923320033907,267,267,1,268,0.000622068991106,268,11364,268,0.0085510829967461,267,267,268,0.017008883995004,267,267,264,29,267,267,259,267,267,267,267,444,238,238,0.670951409002555,3.0,238,238,238,29,29,29,29,3,3.0,29,29,29,29,29,0,0,119,119,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0112359550561797,0.0112359550561797,1.0,3.085,597.511,793.4614456928839,4663.537,1.0,1.0,42.40298507462686,0.8880597014925373,0.0,Batch,1,535,2016-09-17T02:07:00+00:00,0,17.141844165999828,0.7194217080004819,1.0,,,,,,,,,,,,,,,,,,,,,,,,,268.0,267.0,267.0,0.0,268.0,1.0,1.0
337,337,337,337,337,1,300,0,337,337,11,12082,337,0.0069475479986067,337,337,1,337,0.0007733459997325,337,12082,337,0.0096215330077029,337,337,337,0.0194432100106496,337,337,335,37,337,337,326,337,337,337,337,561,300,300,0.8505106250004246,2.0,300,300,300,37,37,37,37,2,2.0,37,37,37,37,37,0,0,150,150,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0059347181008902,0.0059347181008902,1.0,2.886,646.558,857.082646884273,5431.459,1.0,1.0,35.85163204747774,0.8902077151335311,0.0,Batch,2,674,2016-09-17T02:07:00+00:00,0,17.12729487500019,0.90685512500022,,,,,,,,,,,,,,,,,,,,,,,,,,337.0,337.0,337.0,0.0,337.0,1.0,1.0
273,273,273,273,273,1,243,0,273,273,11,10210,273,0.005712659000892,273,273,1,273,0.000616370993157,273,10210,273,0.0079166139903463,273,273,273,0.0159492059938202,273,273,272,30,273,273,262,273,273,273,273,455,243,243,0.6848773759929827,2.0,243,243,243,30,30,30,30,1,1.0,30,30,30,30,30,0,0,122,121,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0036630036630036,0.0036630036630036,1.0,2.842,646.92,804.4892600732601,3079.611,1.0,1.0,37.3992673992674,0.8901098901098901,0.0,Batch,3,546,2016-09-17T02:07:00+00:00,0,17.190957583000454,0.7306611249996422,,,,,,,,,,,,,,,,,,,,,,,,,,273.0,273.0,273.0,0.0,273.0,1.0,1.0
