mode,method,metric,n,mean,median,std,min,max,ci95_half_width,note
fixed_replay,Batch Allocation,completion_rate,5,0.9973684210526315,1.0,0.0058843894144731,0.986842105263158,1.0,0.005157894736842078,"descriptive; few seeds, no significance claim"
fixed_replay,Batch Allocation,cycle_time_mean_s,5,71654.25454378946,63033.70673684211,21590.49447712678,51877.07872368421,107706.0742105263,18924.90282092619,"descriptive; few seeds, no significance claim"
fixed_replay,Batch Allocation,waiting_time_mean_s,5,1638.6057836175114,1718.072025,211.21564961479478,1303.8882838709676,1860.9613308755763,185.1386797765797,"descriptive; few seeds, no significance claim"
fixed_replay,Batch Allocation,throughput_cases_per_hour,5,0.05177595628415298,0.0519125683060109,0.00030547376741799813,0.0512295081967213,0.0519125683060109,0.00026775956284152486,"descriptive; few seeds, no significance claim"
fixed_replay,Batch Allocation,resource_occupation_mean,5,0.002826737860629,0.0028624159227592,0.00017523109307142164,0.0025677032933932,0.0030265599352532,0.00015359682526468212,"descriptive; few seeds, no significance claim"
fixed_replay,Batch Allocation,resource_fairness_gini,5,0.4911516573057987,0.4815692945973385,0.015084792365342794,0.4781901539848859,0.5078887167075377,0.013222403492907521,"descriptive; few seeds, no significance claim"
fixed_replay,Batch Allocation,weighted_resource_fairness,5,0.00543914621042134,0.0054029039546023,0.0002082765188845161,0.0051826416063891,0.0056910802221191,0.0001825624181023763,"descriptive; few seeds, no significance claim"
fixed_replay,Batch Allocation,simulation_runtime_seconds,5,8.08197755800138,8.007488333001675,0.40037056650387964,7.602411375002703,8.541847083000903,0.3509402747339679,"descriptive; few seeds, no significance claim"
fixed_replay,Kunkler,completion_rate,5,0.9973684210526315,1.0,0.0058843894144731,0.986842105263158,1.0,0.005157894736842078,"descriptive; few seeds, no significance claim"
fixed_replay,Kunkler,cycle_time_mean_s,5,98957.21257989472,117005.44742105264,40541.66447416923,54889.50338157894,140562.16110526313,35536.335732610416,"descriptive; few seeds, no significance claim"
fixed_replay,Kunkler,waiting_time_mean_s,5,1633.080166368553,1558.6343271889402,329.96168841919143,1351.9974294930876,2202.3759336405533,289.2241719881595,"descriptive; few seeds, no significance claim"
fixed_replay,Kunkler,throughput_cases_per_hour,5,0.05177595628415298,0.0519125683060109,0.00030547376741799813,0.0512295081967213,0.0519125683060109,0.00026775956284152486,"descriptive; few seeds, no significance claim"
fixed_replay,Kunkler,resource_occupation_mean,5,0.0027967357835359205,0.0027169701003086,0.00019100742085701166,0.0026161301542728,0.0030746234766675,0.00016742538627933015,"descriptive; few seeds, no significance claim"
fixed_replay,Kunkler,resource_fairness_gini,5,0.48923013993409326,0.4793787762717135,0.024480143285487418,0.4619314121396947,0.5172697046677879,0.021457791678231683,"descriptive; few seeds, no significance claim"
fixed_replay,Kunkler,weighted_resource_fairness,5,0.005412723814992281,0.0055720267938027,0.00025466582751354873,0.0050580880648333,0.0056051759846755,0.00022322443993168023,"descriptive; few seeds, no significance claim"
fixed_replay,Kunkler,simulation_runtime_seconds,5,7.910440075200313,7.923365916998591,0.7403801994111523,6.935360417002812,9.005511791998288,0.6489718583906491,"descriptive; few seeds, no significance claim"
fixed_replay,ParkSong-Composite,completion_rate,5,1.0,1.0,0.0,1.0,1.0,0.0,"descriptive; few seeds, no significance claim"
fixed_replay,ParkSong-Composite,cycle_time_mean_s,5,104560.76468425526,91965.2326053684,46394.06841721241,52917.87605265789,168062.23996057897,40666.1939675959,"descriptive; few seeds, no significance claim"
fixed_replay,ParkSong-Composite,waiting_time_mean_s,5,4062.8567749340095,4293.529918901382,1362.6059123999894,2098.0291170525343,5737.171312446083,1194.376743094444,"descriptive; few seeds, no significance claim"
fixed_replay,ParkSong-Composite,throughput_cases_per_hour,5,0.051912568306010896,0.0519125683060109,7.757919228897728e-18,0.0519125683060109,0.0519125683060109,6.800116025829083e-18,"descriptive; few seeds, no significance claim"
fixed_replay,ParkSong-Composite,resource_occupation_mean,5,0.00213131317952534,0.0021003340846033,0.00017928184078905616,0.0018688506158383,0.0023203712887067,0.00015714746218916463,"descriptive; few seeds, no significance claim"
fixed_replay,ParkSong-Composite,resource_fairness_gini,5,0.5319482446945804,0.53013132940073,0.03175506122369818,0.4954503002537527,0.580937455384197,0.02783453840613586,"descriptive; few seeds, no significance claim"
fixed_replay,ParkSong-Composite,weighted_resource_fairness,5,0.00491599071331516,0.0048868093961097,0.0002091911251893749,0.004637003217185,0.0052114349674832,0.00018336410587553944,"descriptive; few seeds, no significance claim"
fixed_replay,ParkSong-Composite,simulation_runtime_seconds,5,18.018141541799558,18.40193858299972,5.583147951640129,12.3142962919992,25.7511768330005,4.893844952535966,"descriptive; few seeds, no significance claim"
fixed_replay,R-RRA / RoundRobin,completion_rate,5,1.0,1.0,0.0,1.0,1.0,0.0,"descriptive; few seeds, no significance claim"
fixed_replay,R-RRA / RoundRobin,cycle_time_mean_s,5,92292.03200526317,76695.29178947369,27171.479247532312,72621.65432894738,135278.60346052633,23816.851661509176,"descriptive; few seeds, no significance claim"
fixed_replay,R-RRA / RoundRobin,waiting_time_mean_s,5,1724.8820947465435,1642.834047004608,126.44155541940218,1622.3476405529952,1895.1873714285712,110.83090993464735,"descriptive; few seeds, no significance claim"
fixed_replay,R-RRA / RoundRobin,throughput_cases_per_hour,5,0.051912568306010896,0.0519125683060109,7.757919228897728e-18,0.0519125683060109,0.0519125683060109,6.800116025829083e-18,"descriptive; few seeds, no significance claim"
fixed_replay,R-RRA / RoundRobin,resource_occupation_mean,5,0.00210042449506328,0.0016795255374399,0.0010529242456306116,0.0014761121512869,0.0039761905831554,0.0009229287938479914,"descriptive; few seeds, no significance claim"
fixed_replay,R-RRA / RoundRobin,resource_fairness_gini,5,0.5454536173441804,0.5076560153957667,0.11124599720180234,0.4719353517347499,0.7426729597879518,0.09751141589144871,"descriptive; few seeds, no significance claim"
fixed_replay,R-RRA / RoundRobin,weighted_resource_fairness,5,0.005323640814051239,0.0039066565493853,0.0034043356012715266,0.0035751993992719,0.0114038372876738,0.002984031722484975,"descriptive; few seeds, no significance claim"
fixed_replay,R-RRA / RoundRobin,simulation_runtime_seconds,5,8.623290058400016,8.36494274999859,0.9630073482191938,7.404284415999427,9.853168666999409,0.8441131582323718,"descriptive; few seeds, no significance claim"
fixed_replay,R-SHQ / ShortestQueue,completion_rate,5,0.9973684210526315,1.0,0.0058843894144731,0.986842105263158,1.0,0.005157894736842078,"descriptive; few seeds, no significance claim"
fixed_replay,R-SHQ / ShortestQueue,cycle_time_mean_s,5,65184.340367578945,69199.07068,8957.63849196598,53384.10925,73108.90978947368,7851.716325674615,"descriptive; few seeds, no significance claim"
fixed_replay,R-SHQ / ShortestQueue,waiting_time_mean_s,5,1677.3302863439574,1667.8495926267278,66.9468628673039,1599.813935483871,1774.709330875576,58.681512610646024,"descriptive; few seeds, no significance claim"
fixed_replay,R-SHQ / ShortestQueue,throughput_cases_per_hour,5,0.05177595628415298,0.0519125683060109,0.00030547376741799813,0.0512295081967213,0.0519125683060109,0.00026775956284152486,"descriptive; few seeds, no significance claim"
fixed_replay,R-SHQ / ShortestQueue,resource_occupation_mean,5,0.00141579482936602,0.0013803152598388,0.00011602695946860854,0.0012973541482677,0.0015841377391736,0.00010170211408901324,"descriptive; few seeds, no significance claim"
fixed_replay,R-SHQ / ShortestQueue,resource_fairness_gini,5,0.4737707816351038,0.4904653552156231,0.043844366514930365,0.4246641981885411,0.5285263028087807,0.038431281711457536,"descriptive; few seeds, no significance claim"
fixed_replay,R-SHQ / ShortestQueue,weighted_resource_fairness,5,0.00323607456312432,0.0032608357169895,6.963248957171388e-05,0.0031367754770539,0.0033009419162447,6.10355682089598e-05,"descriptive; few seeds, no significance claim"
fixed_replay,R-SHQ / ShortestQueue,simulation_runtime_seconds,5,8.499699008000608,8.246599582998897,0.5160543765724301,8.010366916001658,9.209020375001272,0.45234160511207366,"descriptive; few seeds, no significance claim"
generative,Batch Allocation,completion_rate,3,0.8124708624708625,0.8181818181818182,0.0406863419480381,0.7692307692307693,0.85,0.04604093013304028,"descriptive; few seeds, no significance claim"
generative,Batch Allocation,cycle_time_mean_s,3,13755.680680901942,13455.204480199998,626.1777202666649,13336.37152512121,14475.466037384616,708.58679569875,"descriptive; few seeds, no significance claim"
generative,Batch Allocation,waiting_time_mean_s,3,1843.0865957874646,1690.2995638666666,291.39444411112646,1659.8595921111112,2179.1006313846156,329.7438550659237,"descriptive; few seeds, no significance claim"
generative,Batch Allocation,simulation_runtime_seconds,3,0.3063333333333333,0.33,0.05357549190939205,0.245,0.344,0.06062637636467407,"descriptive; few seeds, no significance claim"
generative,Kunkler,completion_rate,3,0.8174825174825174,0.7948717948717948,0.07385526244123793,0.7575757575757576,0.9,0.08357509707697759,"descriptive; few seeds, no significance claim"
generative,Kunkler,cycle_time_mean_s,3,14169.246654289978,14271.3947008,193.65609634033177,13945.902447615386,14290.442814454545,219.1425027305132,"descriptive; few seeds, no significance claim"
generative,Kunkler,waiting_time_mean_s,3,2956.678688280392,964.4506032000002,3589.672934786743,804.9327877,7100.6526739411765,4062.097324995607,"descriptive; few seeds, no significance claim"
generative,Kunkler,simulation_runtime_seconds,3,0.3116666666666667,0.318,0.025106440076867416,0.284,0.333,0.02841061147607432,"descriptive; few seeds, no significance claim"
generative,ParkSong-Composite,completion_rate,3,0.7972804972804973,0.7948717948717948,0.10153658145030506,0.696969696969697,0.9,0.11489945836053886,"descriptive; few seeds, no significance claim"
generative,ParkSong-Composite,cycle_time_mean_s,3,14816.134816812644,15308.382215820513,935.8954584897507,13736.842657242421,15403.179577375,1059.0654099891153,"descriptive; few seeds, no significance claim"
generative,ParkSong-Composite,waiting_time_mean_s,3,317.2622062519946,303.1367620898437,90.388376162512,234.76817305625,413.8816836098901,102.28407648571734,"descriptive; few seeds, no significance claim"
generative,ParkSong-Composite,simulation_runtime_seconds,3,0.5463333333333333,0.391,0.28742361304063613,0.37,0.878,0.3252504367065136,"descriptive; few seeds, no significance claim"
generative,R-RRA / RoundRobin,completion_rate,3,0.7792735042735043,0.825,0.0980922841442418,0.6666666666666666,0.8461538461538461,0.1110018690459624,"descriptive; few seeds, no significance claim"
generative,R-RRA / RoundRobin,cycle_time_mean_s,3,13459.680962692832,12461.047502564103,1974.6962095059748,12183.758686575,15734.236698939394,2234.5791207269763,"descriptive; few seeds, no significance claim"
generative,R-RRA / RoundRobin,waiting_time_mean_s,3,2656.3207739523805,1231.4587999999999,3294.0783304444117,314.52873150000005,6422.9747903571415,3727.600541195037,"descriptive; few seeds, no significance claim"
generative,R-RRA / RoundRobin,simulation_runtime_seconds,3,0.27199999999999996,0.267,0.016093476939431063,0.259,0.29,0.01821148355662802,"descriptive; few seeds, no significance claim"
generative,R-SHQ / ShortestQueue,completion_rate,3,0.8142385392385393,0.825,0.04070821843182666,0.7692307692307693,0.8484848484848485,0.04606568570489661,"descriptive; few seeds, no significance claim"
generative,R-SHQ / ShortestQueue,cycle_time_mean_s,3,14742.778665007012,14790.603073725,1086.3078644730012,13633.348429538459,15804.384491757577,1229.273070433538,"descriptive; few seeds, no significance claim"
generative,R-SHQ / ShortestQueue,waiting_time_mean_s,3,2540.308947695923,2339.8126965714287,923.5631399061818,1733.4629142222223,3547.651232294118,1045.1100777793622,"descriptive; few seeds, no significance claim"
generative,R-SHQ / ShortestQueue,simulation_runtime_seconds,3,0.332,0.333,0.058506409905240295,0.273,0.39,0.06620623535589377,"descriptive; few seeds, no significance claim"
