n_events,cases_admitted,cases_observed,fixed_routes_completed,cases_completed,cases_incomplete,cases_deadlocked,cases_cyclic,cases_censored,cases_active,completed_case_ids,deadlocked_case_ids,cyclic_case_ids,censored_case_ids,active_case_ids,fixed_route_completion_rate,completion_rate,tasks_assigned,cycle_time_mean_s,cycle_time_median_s,cycle_time_std_s,cycle_time_p90_s,cycle_time_p95_s,waiting_time_mean_s,waiting_time_median_s,waiting_time_p90_s,waiting_time_p95_s,horizon_normalized_throughput_cases_per_hour,throughput_cases_per_hour,horizon_normalized_resource_occupation_mean,resource_occupation_mean,horizon_normalized_resource_occupation_median,resource_occupation_median,resource_fairness_gini,weighted_resource_fairness,weighted_resource_fairness_status,weighted_fairness_resource_count,active_cases_remaining,waiting_queue_remaining,drain_stopped_by_limit,run_window_seconds,throughput_denominator,strategy,seed,simulation_start,simulation_end,drain_until,diagnostic_cycle_guard,cycle_repetition_limit,engine_initialization_seconds,simulation_runtime_seconds
524,29,29,29,29,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;3;4;5;6;7;8;9,,,,,1.0,1.0,524,7418.638758620689,7231.035,2243.366337380861,10034.9244,10802.300199999998,0.0,0.0,0.0,0.0,2.636363636363636,2.636363636363636,0.0679105189393939,0.0679105189393939,0.06140851010101,0.06140851010101,0.3709387925447275,0.0875999698486955,computed,91,0,0,0,39600.0,arrival_plus_drain_horizon,RoundRobin,1,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,20.999723708999227,0.9931137080002372
665,37,37,36,36,1,0,0,1,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;36;4;5;6;7;8;9,,,35.0,,0.972972972972973,0.972972972972973,665,7730.379611111113,7308.6945,2522.5682816042777,11333.2525,12422.4805,0.0,0.0,0.0,0.0,3.272727272727273,3.272727272727273,0.0965212936026936,0.0965212936026936,0.0985106313131313,0.0985106313131313,0.3503504076325274,0.1096876045251536,computed,91,0,1,0,39600.0,arrival_plus_drain_horizon,RoundRobin,2,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,20.364514332999537,1.5544565000000148
544,30,30,30,30,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;4;5;6;7;8;9,,,,,1.0,1.0,544,7349.010733333333,6971.093,2257.278263085801,10314.5301,11347.437299999996,0.0,0.0,0.0,0.0,2.727272727272727,2.727272727272727,0.0742324316498316,0.0742324316498316,0.0680097727272727,0.0680097727272727,0.3720390746590676,0.0970258049437752,computed,91,0,0,0,39600.0,arrival_plus_drain_horizon,RoundRobin,3,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,20.806047833000775,1.3683552500006044
524,29,29,29,29,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;3;4;5;6;7;8;9,,,,,1.0,1.0,524,7418.638758620689,7231.035,2243.366337380861,10034.9244,10802.300199999998,0.0,0.0,0.0,0.0,2.636363636363636,2.636363636363636,0.0679105189393939,0.0679105189393939,0.062626452020202,0.062626452020202,0.3435931207920641,0.1010691568051213,computed,91,0,0,0,39600.0,arrival_plus_drain_horizon,ShortestQueue,1,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,21.116570959000455,1.0467987909996737
667,37,37,36,36,1,0,0,1,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;4;5;6;7;8;9,,,36.0,,0.972972972972973,0.972972972972973,667,7722.641472222222,7306.558499999999,2514.3715669841013,11162.089,12306.212,0.0,0.0,0.0,0.0,3.272727272727273,3.272727272727273,0.0903137553661616,0.0903137553661616,0.0817858585858585,0.0817858585858585,0.3821412238714227,0.1284191390796032,computed,91,0,1,0,39600.0,arrival_plus_drain_horizon,ShortestQueue,2,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,21.632304667000422,1.4497122909997415
546,30,30,30,30,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;4;5;6;7;8;9,,,,,1.0,1.0,546,7354.995833333333,6923.978,2290.500405507255,10469.4246,11347.437299999996,0.0,0.0,0.0,0.0,2.727272727272727,2.727272727272727,0.0742928872053872,0.0742928872053872,0.0705514646464646,0.0705514646464646,0.3806668689025994,0.1051687434750988,computed,91,0,0,0,39600.0,arrival_plus_drain_horizon,ShortestQueue,3,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,20.563655875001132,1.2506777090002288
522,29,29,29,29,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;3;4;5;6;7;8;9,,,,,1.0,1.0,522,7405.708379310345,7231.035,2280.3345931300523,10026.2076,10802.300199999998,0.0,0.0,0.0,0.0,2.636363636363636,2.636363636363636,0.1549534942279942,0.1549534942279942,0.1589938888888889,0.1589938888888889,0.3470014352215843,0.2825506008988508,computed,91,0,0,0,39600.0,arrival_plus_drain_horizon,ParkSong-Composite,1,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,20.46041412500017,1.0655136250006765
661,37,37,36,36,1,0,0,1,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;4;5;6;7;8;9,,,36.0,,0.972972972972973,0.972972972972973,661,7536.395277777778,6833.48,1913.8592569711911,10425.0865,11049.2445,0.0,0.0,0.0,0.0,3.272727272727273,3.272727272727273,0.1640897492365516,0.1640897492365516,0.1497876262626262,0.1497876262626262,0.3475759978309767,0.3094456818277766,computed,91,0,1,0,39600.0,arrival_plus_drain_horizon,ParkSong-Composite,2,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,21.279855374999897,1.51343312499921
540,30,30,30,30,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;4;5;6;7;8;9,,,,,1.0,1.0,540,7248.894499999999,7135.4985,1937.713832659023,9642.5455,10162.8209,0.0,0.0,0.0,0.0,2.727272727272727,2.727272727272727,0.1484212633087633,0.1484212633087633,0.1338371717171717,0.1338371717171717,0.3383067732753054,0.2629592861054077,computed,91,0,0,0,39600.0,arrival_plus_drain_horizon,ParkSong-Composite,3,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,21.538501582999743,1.3201710419998562
526,29,29,29,29,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;3;4;5;6;7;8;9,,,,,1.0,1.0,526,7386.338620689656,6213.467,2799.6627964103413,10836.3278,12077.155799999997,0.0,0.0,0.0,0.0,2.636363636363636,2.636363636363636,0.1690371054292929,0.1690371054292929,0.1548501388888889,0.1548501388888889,0.3594886405970725,0.2909080609625926,computed,91,0,0,0,39600.0,arrival_plus_drain_horizon,Kunkler-Rinderle-Ma,1,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,21.589615333001348,1.1907380419997935
681,37,37,37,37,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;4;5;6;7;8;9,,,,,1.0,1.0,681,7297.250942405406,7295.593,1916.00980834348,9439.6064,10638.829799999996,2.406952555882353,0.0,0.0,0.0,3.363636363636364,3.363636363636364,0.1618445893458393,0.1618445893458393,0.1302863636363636,0.1302863636363636,0.3908354372354823,0.3058743434941214,computed,91,0,0,0,39600.0,arrival_plus_drain_horizon,Kunkler-Rinderle-Ma,2,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,22.468227583000044,1.5336384589991212
552,30,30,30,30,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;4;5;6;7;8;9,,,,,1.0,1.0,552,7532.555066666667,7310.151,2133.195356202973,10274.2107,10740.77435,0.0,0.0,0.0,0.0,2.727272727272727,2.727272727272727,0.1630415959595959,0.1630415959595959,0.1506373232323232,0.1506373232323232,0.3298735375007823,0.268550269826094,computed,91,0,0,0,39600.0,arrival_plus_drain_horizon,Kunkler-Rinderle-Ma,3,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,21.898612000000867,1.447894875000202
528,29,29,29,29,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;3;4;5;6;7;8;9,,,,,1.0,1.0,528,7512.758241379312,7259.365,2335.5948946871217,10065.4324,11111.654199999995,0.0,0.0,0.0,0.0,2.636363636363636,2.636363636363636,0.1719302312184343,0.1719302312184343,0.1525285227272727,0.1525285227272727,0.3594604313251698,0.2899318256663921,computed,91,0,0,0,39600.0,arrival_plus_drain_horizon,Batch,1,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,22.42098608299966,1.5909213750001072
674,37,37,37,37,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;4;5;6;7;8;9,,,,,1.0,1.0,674,7806.401405405406,7294.201,2705.6447750521343,11669.2536,12551.275599999995,0.0,0.0,0.0,0.0,3.363636363636364,3.363636363636364,0.1736633309283309,0.1736633309283309,0.1578732196969697,0.1578732196969697,0.3415944898029774,0.3147158376562765,computed,91,0,0,0,39600.0,arrival_plus_drain_horizon,Batch,2,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,21.803517750000537,1.5187208339993958
552,30,30,30,30,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;4;5;6;7;8;9,,,,,1.0,1.0,552,7303.014666666667,6963.9695,2167.3209170597174,9882.2144,10722.565899999998,0.0,0.0,0.0,0.0,2.727272727272727,2.727272727272727,0.16765414753596572,0.16765414753596572,0.15830848484848484,0.15830848484848484,0.3039760690939903,0.2699152085767341,computed,91,0,0,0,39600.0,arrival_plus_drain_horizon,Batch,3,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,21.515046165999593,1.2433126249998168
